id;maker;brand_name;generic_name;created_date;updated_date
1;Loan;disintermediate;Belarus Borders;2023-03-07T00:23:11;2023-03-06T20:00:17
2;Iowa;Delaware;programming Solutions;2023-03-06T05:59:06;2023-03-06T10:26:10
3;matrix Cambridgeshire Tasty;haptic white;interface Ball;2023-03-06T08:50:08;2023-03-07T01:34:46
4;Salad;Automotive Sports;Gambia experiences lavender;2023-03-06T21:33:07;2023-03-06T06:51:01
5;Refined parse;primary IB deposit;Hat Networked;2023-03-06T10:57:12;2023-03-06T20:17:31
6;architectures Garden;Direct Upgradable panel;scale Savings green;2023-03-06T15:23:45;2023-03-06T21:57:13
7;Unbranded;secured Barbados;Fantastic Meadows;2023-03-06T17:45:06;2023-03-06T15:44:50
8;Pizza Intelligent Plastic;value-added;white Cheese Cambridgeshire;2023-03-07T00:08:21;2023-03-06T12:11:46
9;connect;Gloves Supervisor;Representative Shoes;2023-03-06T04:11:19;2023-03-06T18:47:40
10;Squares;Spur Central Customer;Regional Cheese olive;2023-03-06T22:25:37;2023-03-07T01:17:52
